candidate,ward,headline,link
Marina Sanduleac,Village,Ran a cafe which neglected safety leading to a child's injury,https://www.barkinganddagenhampost.co.uk/news/25351994.barking-park-cafe-slams-council-lease-not-renewed/
Karl Khan,East Barnet,Worked as a social worker and got fired for endangering vulnerable people,https://www.socialworkengland.org.uk/umbraco/surface/hearingdetails/download?docid=5032086&hearingid=4375
Rick Prior,Totteridge & Woodside,Was fired as met police federation chair,https://metfed.org.uk/news/update-on-investigation-into-metropolitan-police-federation-chair-from-the-police-federation-of-england-and-wales
Mark Shooter,West Hendon,Exploits his tenants as a rougue landlord,https://www.the-londoner.co.uk/reforms-first-london-councillor-is-a-rogue-landlord-33-person-hmo/
Neil Young,Dearne North,Sends misogynistic texts attacking women,https://www.bbc.com/news/articles/cn0j2ww4lv2o
Sam Jones,Penistone West,Unprofessionally loudly discussed redundancies near staff,https://www.birminghammail.co.uk/news/midlands-news/midlands-reform-uk-leader-deputy-33628307
Liam Hardcastle,Stairfoot,Abused his political power,https://democracy.york.gov.uk/documents/s152296/Report.html?CT=2
Sam John Journet,St Martin's,Stalks and harasses staff,http://www.southendstandard.co.uk/news/25450404.basildon-reform-councillor-arrested-stalking/
Alan Harvey Stone,Brookvale & Kings Furlong,Blames victims of sexual assault,https://www.basingstokegazette.co.uk/news/25402648.basingstoke-businessman-defends-sexual-assault-comments-x/
Steven Paul Trumm,South Ham,Trivializes the Holocaust,https://www.telegraph.co.uk/politics/2025/11/13/reform-chairman-trumm-starmer-digital-id-scheme-nazi-laws/
Graham Robert Holland,Blackfen & Lamorbey,Doesn't pay his council tax,https://www.newsshopper.co.uk/news/6379199.tory-threatened/
Kenneth Oliver Morris,Erdington,Represents pro-Putin autocrats,https://bylinetimes.com/2026/04/22/reform-uk-candidate-runs-firm-hired-by-sanctioned-pro-putin-bosnian-serb-leadership/
Michael George Clark,Handsworth Wood,was fired as a teacher for physically bullying children ,https://www.gov.uk/government/publications/teacher-misconduct-panel-outcome-mr-michael-clark
Alan Feeney,Shard End,Wastes public resources with unnecessary planning objections,https://www.birminghammail.co.uk/news/midlands-news/reform-councillor-told-stop-wasting-32646277
Tommy Temperley,Roe Lee,Posts inappropriate and offensive content on social media ,https://www.lancashiretelegraph.co.uk/news/26040212.blackburn-reform-uk-candidate-offensive-posts-spark-row/
Derek Bullock,Hulton,Was suspended by the Conservative party for offensive comments,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/conservative-councillor-suspended-over-islamophobic-17864130
Steve Hammond,Holme Wood & Bierley,"Is a conspiracy theorist and believes in ""the great replacement""",https://www.thetelegraphandargus.co.uk/news/26024508.reform-candidate-steve-hammond-deletes-social-media/
Andrew Mark Judson,Keighley West,Wasted taxpayer money on a pointless election,http://www.keighleynews.co.uk/news/25853269.conservatives-win-worth-valley-seat-by-election/
Chris Hossack,Hutton North,Was suspended as a councillor as his failures led to a serious outbreak of Legionnaires disease,https://maldonandburnhamstandard.co.uk/news/south_essex_news/17445790.legionella-outbreak-helps-lead-brentwood-councillors-quit-housing-roles
Andrew James,Chislehurst,Sexually assaults women,https://glamorganstar.co.uk/former-mayor-pleads-guilty/
Tom Pickup,Coal Clough with Deerplay,Spreads extremist fringe views and hate,http://www.thisislancashire.co.uk/news/25646367.lancashire-reform-leader-speaks-councillor-suspension/
Liam Thomson,Rosegrove with Lowerhouse,Spreads dangerous misinformation lying about asylum accomodation,https://northwestbylines.co.uk/politics/reform-uk-councillor-in-burnley-accused-of-whipping-up-misinformation/
Elizabeth Melanie Clark,Besses,Wants to end the NHS in the UK,https://www.burytimes.co.uk/news/26051090.bury-reform-election-candidate-said-nhs-canned/
Jack Bernard Rydeheard,Elton,Is the only councillor against more funding for children and early years,https://www.rochvalleyradio.com/news/local-news/reform-councillor-sole-opponent-as-burys-councillor-backs-early-years-motion/
Mederic Robert George Payne,"Salterhebble, Southowram & Skircoat Green",Commits fraud and abuses animals,https://www.keighleynews.co.uk/news/10896090.former-keighley-councillor-jailed-for-fraud/
Mike Payne,Sowerby Bridge,Calls muslims parasites,https://www.bbc.co.uk/news/uk-england-leeds-43656434
Oliver Lewis Pickstock,Langley Green & Tushmore,Sued his neighbour's dogs over it's conduct,https://www.facebook.com/ShropshireStar/posts/former-reform-uk-candidate-oliver-lewis-launched-legal-proceedings-against-his-n/1146681364129616/
David Booth,Kenley,Believes the pandemic was staged and is an anti vax conspiracy theorist,https://www.standard.co.uk/news/politics/reform-uk-candidate-croydon-antivax-b1279384.html
Paula Bucur,Shirley South,Ran a pub that failed it's food hygiene inspection,https://www.croydonadvertiser.co.uk/news/croydon-news/cricketers-pub-croydon-been-given-1525177
Sheung-yuen Lee,Southall Broadway,Supports china's crackdown on hong kong democracy protestors,https://stoptheccp.org/stop-the-presses-ccp-infiltrates-uks-reform-party/
Andy Lynch,"Horley West, Salfords & Sidlow",trolls people on twitter under an anonymous account,https://www.getsurrey.co.uk/news/surrey-news/horley-councillor-tory-whip-removed-25417418
Melanie Moakson,Frinton & Walton,Believes in weird conspiracy theories,https://www.threads.com/@lordcardiffian/post/DW6WJf7DIUE/our-thoughts-and-prayers-are-with-this-local-candidate-reform-clacton-campaign
Jaymey McIvor,Ongar & Rural,Sends unsolicited explicit photos of his genitals to people,https://www.bbc.com/news/videos/cwye1end11ro
Jaymey McIvor,Chopwell & Rowlands Gill,Promotes white supremacy,http://jonathanwallace.blogspot.com/2026/04/reform-candidate-no3-in-trouble.html
David Robert Prior,Saltwell,Ex-BNP extremist member,https://www.chroniclelive.co.uk/news/north-east-news/gateshead-council-reform-uk-bnp-33824394
Mike Porritt,Whickham South & Sunniside,Bankrupt business failure which cost 53 local jobs,https://jonathanwallace.blogspot.com/2026/04/dont-ring-us.html
Aharon Klein,Stamford Hill West,Is homophobic and hates gay people,https://www.hamhigh.co.uk/news/local-council/21147780.hackney-councillor-aron-klein-investigation-homophobic-taunts-continue/
Alan Harvey Stone,Brookvale & Kings Furlong,Compares sexual assault to car theft,https://www.basingstokegazette.co.uk/news/25402648.basingstoke-businessman-defends-sexual-assault-comments-x/
George Martin Parnell,Fleet Town,Supports the BNP extremist movements,https://www.localgov.co.uk/Reform-UK-expels-three-candidates-after-BNP-links-uncovered/64266
John Philip Attree,Bounds Green,committed gross misconduct,http://gov.uk/employment-tribunal-decisions/mr-j-attree-v-london-borough-of-havering-council-3204630-slash-2021
Michael Gabbay,Muswell Hill,Mocks diabled employees,https://www.gov.uk/employment-tribunal-decisions/mr-m-gabbay-v-the-financial-conduct-authority-3201918-2019
George Martin Parnell,Fleet Town,Supports the BNP extremist movements,https://www.localgov.co.uk/Reform-UK-expels-three-candidates-after-BNP-links-uncovered/64266
Ricky Hodges,Tressell,Promotes violent bigotry,https://hastingsonlinetimes.co.uk/hot-blogs/elections/farage-dithers-over-hodges-decision
Ash Bhardwaj,Elm Park,Steals from creditors ,https://insolvency-practitioners.org.uk/uploads/documents/957982ee705b97b6c830001875ecdcf2.pdf
Andrew John Retter,Colham & Cowley,Calls people in need 'waste',https://www.newsshopper.co.uk/news/6424721.cllrs-fate-hangs-in-the-balance/
Andrew John Retter,Colham & Cowley,Steals from letterboxes,https://www.mylondon.news/news/west-london-news/reform-uk-candidate-caught-doorbell-33699482
Howard Raymond Dini,Ickenham & South Harefield,Advocates mass violence,https://www.bbc.co.uk/news/articles/cy012knxk3lo
Ryan Coogan,Ramsey,Spreads racist misinformation,https://www.facebook.com/NorfolkNewsdesk/posts/a-norfolk-mp-has-attacked-those-spreading-false-rumours-about-asylum-seeker-hous/803574072000592/
Miles Parkinson,Clayton-le-Moors,Exposes private citizens,https://www.lancashiretelegraph.co.uk/news/20179184.hyndburn-council-leader-breached-data-law-rules-privacy-watchdog/
Miles Parkinson,Clayton-le-Moors,Sends racist and Islamophobic emails,https://www.lancashiretelegraph.co.uk/news/20144268.hyndburn-council-boss-accused-sending-islamophobic-email/
Miles Parkinson,Clayton-le-Moors,Sends racist and Islamophobic emails,https://www.lancashiretelegraph.co.uk/news/25045714.former-hyndburn-leader-miles-parkinson-joins-reform-uk/
Alan Stay,Parkhurst & Hunnyhill,Posts racist and mysoginistic rhetorics on Facebook,https://www.countypress.co.uk/news/26029803.reform-uk-probe-isle-wight-council-election-candidates-posts/
Chris Way,Ryde South East,Send inappropriate messages referencing autism and sexual harrasment jokes to a former pupil,https://thurrock.nub.news/news/local-news/senior-teacher-at-borough-secondary-school-banned-after-sending-inappropriate-messages-to-former-pupil-267511
